yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,registered_state,make,model,total_owners,original_price,car_rating,warranty_avail
2014,2,110019,282299,2,1,1,4,12,1,441793.0,1,2
2014,3,101288,212699,1,1,1,1,10,1,304299.0,1,2
2014,3,104448,314999,1,1,1,1,104,1,418624.0,1,2
2012,2,169704,1089687,5,1,2,7,52,1,1359937.0,1,2
2015,1,147944,554899,2,1,1,4,27,2,568889.0,1,2
2013,1,29656,339299,1,1,2,2,60,1,430359.0,1,2
2012,1,48415,199499,1,1,1,4,21,1,275320.0,1,2
2019,1,5906,581299,2,1,1,4,12,1,593482.0,1,2
2014,1,45361,265899,1,1,2,2,98,1,339367.0,1,2
2014,3,22307,254999,1,1,1,1,10,1,304299.0,2,2
2017,1,29238,301499,1,1,2,3,69,1,388983.0,1,2
2014,2,27619,481099,2,1,2,1,105,1,609475.0,1,2
2019,1,5631,602799,1,1,1,1,16,1,779212.0,1,2
2018,1,11550,537399,1,1,2,1,104,1,667508.0,1,2
2018,1,24883,563999,2,1,2,1,38,1,731634.0,1,2
2016,1,31898,245999,1,1,1,3,69,1,300952.0,1,2
2008,1,50292,128299,2,1,1,1,106,2,167036.0,1,2
2016,1,44946,248699,1,1,2,3,69,1,324451.0,1,2
2015,1,42878,152399,1,1,1,8,77,1,154745.0,3,2
2015,1,51368,305599,1,1,1,2,59,1,297907.5,1,2
2015,1,27144,802499,3,1,1,2,33,1,999716.0,1,2
2018,1,28594,624399,1,1,1,1,16,1,786657.0,1,2
2018,2,22800,764399,3,1,1,10,108,2,977079.0,1,2
2015,1,57988,393799,2,1,3,1,105,1,486705.0,1,2
2017,3,57086,470799,2,1,1,4,12,2,441793.0,1,2
2013,2,136954,157999,1,1,1,14,17,1,164999.0,1,2
2018,2,52916,558599,2,1,2,1,38,1,705613.0,1,2
2014,2,72120,529099,3,1,2,1,45,1,655064.0,1,2
2013,2,85174,297499,2,1,1,1,105,1,451699.0,1,2
2015,2,59372,1502599,5,1,2,7,52,1,1838519.0,1,2
2013,2,80307,691399,3,1,2,7,64,1,885331.0,1,2
2019,2,41908,1307948,3,1,2,10,100,2,1597369.0,1,2
2016,2,105733,469399,1,1,1,2,42,1,610832.0,1,2
2016,3,74429,276299,1,1,2,1,117,1,325520.0,1,2
2013,2,191884,441199,3,1,2,1,45,1,506291.0,1,2
2013,2,64676,280000,2,1,2,1,105,1,451699.0,1,1
2012,2,73920,240000,1,1,1,1,104,3,467108.0,1,1
2014,1,38295,170000,1,1,1,1,10,2,304299.0,1,1
2016,1,34501,210000,1,1,1,3,69,2,349500.0,2,1
2012,2,98040,270000,1,1,1,1,104,1,467108.0,1,2
2005,3,136658,47000,1,1,1,2,98,1,242799.0,4,2
2012,2,94634,482000,2,1,3,2,114,1,535360.0,3,2
2011,1,34028,184599,1,1,1,1,11,1,300764.0,1,2
2017,1,11976,323999,1,1,3,1,11,1,391940.0,1,2
2015,1,17181,378699,1,1,1,2,56,1,488119.5,1,2
2016,1,20092,499499,1,1,3,1,16,1,587400.0,1,2
